//note: If the string's repeated, We won't repeat it.

//TICKET: Manage ticket in site Backend

"Add Ticket", "Add Ticket"
"Client Information", "Client Information"
"Set Status To", "Set Status To"
"Priority", "Priority"
"Assign To Department", "Assign To Department"
"Staff", "Staff"
"Assign To Client", "Assign To Client"
"Assign to Order", "Assign to Order"
"Tags", "Tags"
"Subject", "Subject"
"Content", "Content"
"Attach File", "Attach File"
"Customer Email Address", "Customer Email Address"
"Support Department", "Support Department"
"Assigned Staff", "Assigned Staff"
"Time Created", "Time Created"
"Set Status To", "Set Status To"
"Assign To Department", "Assign To Department"
"Assign to Staff", "Assign to Staff"
"Ticket Message", "Ticket Message"
"Order #", "Order #"
"Time To Process", "Time To Process"
"By Number", "By Number"
"File Attachment(s)", "File Attachment(s)"
"Time Updated", "Time Updated"
"Ticket Id", "Ticket Id"
"Subject", "Subject"
"Client Direct Link", "Client Direct Link"
"Staff Direct Link", "Staff Direct Link"
"Note", "Note"
"Notify Staff by Email", "Notify Staff by Email"
"Ticket Thread", "Ticket Thread"
"Additional Information", "Additional Information"
"Ordered Items", "Ordered Items"
"Ticket History", "Ticket History"
"The Staff must along to the chosen department", "The Staff must along to the chosen department"
"The ticket has been saved successfully", "The ticket has been saved successfully"
"The ticket has been updated successfully", "The ticket has been updated successfully"
"Please select ticket(s)", "Please select ticket(s)"
"Thread Links", "Thread Links"
"Additional Thread Information","Additional Thread Information"
"General Information", "General Information"


//RULES: manage rule 
"Rule Applied", "Rule Applied"
"Rule Information", "Rule Information"
"Add Rule", "Add Rule"
"Rule Name", "Rule Name"
"Status", "Status"
"Websites", "Websites"
"From Date", "From Date"
"To Date", "To Date"
"Priority", "Priority"
"Conditions", "Conditions"
"Auto-Apply Rule", "Auto-Apply Rule"
"When ticket created", "When ticket created"
"When ticket updated", "When ticket updated"
"Apply the rule only if the following conditions are met (leave blank for all rules)", "Apply the rule only if the following conditions are met (leave blank for all rules)"
"Actions", "Actions"
"Rule Actions Information", "Rule Actions Information"
"Stop Further Rules Processing", "Stop Further Rules Processing"
"Set Status To", "Set Status To"
"Priority", "Priority"
"Assign To Department", "Assign To Department"
"Assign to Staff", "Assign to Staff"
"Add Tags", "Add Tags"
"Remove Tags", "Remove Tags"
"Reply With", "Reply With"
"Rule Applied", "Rule Applied"

//Status of supporter
"Add Day Off", "Add Day Off"

//DEPARTMENT: Manage Department
"Departments Manager", "Departments Manager"
"Add Department", "Add Department"
"Items Manager", "Items Manager"
"Item News", "Item News"
"Department does not exist", "Department does not exist"
"The department has been saved successfully", "The department has been saved successfully."
"Moderator is required. You need to assign moderator to activate the department", "Moderator is required. You need to assign moderator to activate the department"
"Unable to find department to save", "Unable to find department to save"
"The department has been deleted successfully", "The department has been deleted successfully"
"Please select department(s)", "Please select department(s)"
"Total of %d record(s) has been deleted successfully", "Total of %d record(s) has been deleted successfully"
"Save Department", "Save Department"
"Delete Department", "Delete Department"
"Edit Department '%s'", "Edit Department '%s'"
"Detail Information", "Detail Information"
"Department Name", "Department Name"
"Dept. Code", "Dept. Code"
"Store View", "Store View"
"Required Login", "Required Login"
"Please Select Gateway", "Please Select Gateway"
"Department Moderator", "Department Moderator"
"Enter Moderator Email address", "Enter Moderator Email address"
"Auto-Notification", "Auto-Notification"
"Description", "Description"
"Department Email Templates (Override General Email Templates)", "Department Email Templates (Override General Email Templates)"
"Client New Ticket Template (<i>Notify customer of new ticket</i>)", "Client New Ticket Template (<i>Notify customer of new ticket</i>)"
"Staff Response Template (<i>Notify client of the reply from staff</i>)", "Staff Response Template (<i>Notify client of the reply from staff</i>)"
"Staff New Ticket Template (<i>Notify staff of new ticket</i>)", "Staff New Ticket Template (<i>Notify staff of new ticket</i>)"
"Client Response Template (<i>Notify staff of the reply from client</i>)", "Client Response Template (<i>Notify staff of the reply from client</i>)"
"Ticket Reassign Template (<i>Notify staff of reassigning a ticket to him</i>)", "Ticket Reassign Template (<i>Notify staff of reassigning a ticket to him</i>)"
"Late Response Template (<i>Notify staff of a missed ticket</i>)", "'Late Response Template (<i>Notify staff of a missed ticket</i>)"
"Internal Note Notification Template (<i>Notify Staff by Email</i>)", "Internal Note Notification Template (<i>Notify Staff by Email</i>)"
"Department Information", "Department Information"
"Department's Staff", "Department's Staff"
"The ticket has been closed successfully", "The ticket has been closed successfully"
"Your ticket was submitted and will be responded to as soon as possible. Thank you for contacting us", "Your ticket was submitted and will be responded to as soon as possible. Thank you for contacting us"
"The Staff must along to the chosen department", "The Staff must along to the chosen department"

//STAFF: Manage Staff
"Save Staff", "Save Staff"
"Delete Staff", "Delete Staff"
"Save And Continue Edit", "Save And Continue Edit"
"Edit Staff '%s'", "Edit Staff '%s'"
"Add Staff", "Add Staff"
"Staff Detail", "Staff Detail"
"Staff Name", "Staff Name"
"Email Address", "Email Address"
"Active", "Active"
"Yes", "Yes"
"No", "No"
"Email", "Email"
"CSV", "CSV"
"XML", "XML"
"Staff does not exist", "Staff does not exist"
"The Staff has been saved successfully", "The Staff has been saved successfully"
"Unable to find Staff to save", "Unable to find Staff to save"
"The Staff has been deleted successfully", "The Staff has been deleted successfully"
"Please select Staff(s)", "Please select Staff(s)"
"Staff Information", "Staff Information"


//GATEWAY: Manage Gateway
"Save Gateway", "Save Gateway"
"Delete Gateway", "Delete Gateway"
"Edit Gateway '%s', "Edit Gateway '%s'"
"Add Gateway", "Add Gateway"
"Gateway information", "Gateway information"
"Gateway Name", "Gateway Name"
"Gateway Host", "Gateway Host"
"Gateway Email", "Gateway Email"
"Login", "Login"
"Password", "Password"
"Port", "Port"
"Type", "Type"
"IMAP", "IMAP"
"POP3", "POP3"
"Use SSL/TLS", "Use SSL/TLS"
"Default Department", "Default Department"
"Delete Email From Host", "Delete Email From Host"
"Test Connect", "Test Connect"
"Gateways Manager", "Gateways Manager"
"Add Gateway", "Add Gateway"
"Gateway does not exist", "Gateway does not exist"
"Department is required. You need to assign department to activate the gateway", "Department is required. You need to assign department to activate the gateway"
"Unable to find gateway to save", "Unable to find gateway to save"
"The gateway has been deleted successfully.", "The gateway has been deleted successfully."
"Please select gateway(s)", "Please select gateway(s)"
"Total of %d record(s) has been updated successfully", "Total of %d record(s) has been updated successfully"


//TEMPLATE: Manage Template
"Save Quick Response", "Save Quick Response"
"Delete Quick Response", "Delete Quick Response"
"Add Quick Response", "Add Quick Response"
"Quick Response Information", "Quick Response Information"
"Response Title", "Response Title"
"Active", "Active"
"Response Message", "Response Message"
"Unable to find template to save", "Unable to find template to save"
"The template has been saved successfully", "The template has been saved successfully"
"Unable to find template to save", "Unable to find template to save"
"Please select template(s)", "Please select template(s)"
"Manage Quick Response Templates", "Manage Quick Response Templates"
"Add Quick Response", "Add Quick Response"

//priority 
"Normal", "Normal"
"High", "High"
"Urgent", "Urgent"

//SPAM: Manage Spam
"Manage Spam Email", "Manage Spam Email"
"Mark this email as spam successfully", "Mark this email as spam successfully"
"This email is marked as spam", "This email is marked as spam"
"Please select email(s)", "Please select email(s)"
"Spam", "Spam"
"Manage Spam", "Manage Spam"
"Spam Email List", "Spam Email List"

//Ticket's Status
"Open", "Open"
"Pending customer response", "Pending customer response"
"Closed", "Closed"

"-- Select Template --", "-- Select Template --"
"Notify customer without changing ticket status", "Notify customer without changing ticket status"
"message(s) were not solved", "message(s) were not solved"
"Help Desk - Tickets Manager", "Help Desk - Tickets Manager"
"Help Desk - Tickets Statistics", "Help Desk - Tickets Statistics"
"Help Desk - Tickets Manager", "Help Desk - Tickets Manager"

//adminhtml
"Help Desk Pro", "Help Desk Pro"
"Manage Tickets", "Manage Tickets"
"Open Tickets", "Open Tickets"
"All Tickets", "All Tickets"
"Manage Departments", "Manage Departments"
"Manage Staffs", "Manage Staffs"
