"Allowed Customer Groups","Allowed Customer Groups"
"Restrictions","Restrictions"
"Restriction Information","Restriction Information"
"Allowed Customers","Allowed Customers"
"Remove Restriction Rule","Remove Restriction Rule"
"Use Default Values","Use Default Values"
"Restrict Categories","Restrict Categories"
"General Settings","General Settings"
"Restrict Products In Restricted Categories","Restrict Products In Restricted Categories"
"Denied Access Redirect Page","Denied Access Redirect Page"
"Cache Settings","Cache Settings"
"if a customer is denied access to a category page, they will be redirected to the page specified in this setting","if a customer is denied access to a category page, they will be redirected to the page specified in this setting"
